tf_bnum	tf_symbol	gene_bnum	gene_symbol	new_tf_symbol	test_tf	new_gene_symbol	test_gene
b0464	acrR	b4235	pmbA	acrR	TRUE	tldE	FALSE
b2213	ada	b4235	pmbA	ada	TRUE	tldE	FALSE
b4116	adiY	b4235	pmbA	adiY	TRUE	tldE	FALSE
b3131	agaR	b4235	pmbA	agaR	TRUE	tldE	FALSE
b4187	aidB	b4235	pmbA	aidB	TRUE	tldE	FALSE
b2697	alaS	b4235	pmbA	alaS	TRUE	tldE	FALSE
b0506	allR	b4235	pmbA	allR	TRUE	tldE	FALSE
b0504	allS	b4235	pmbA	allS	TRUE	tldE	FALSE
b2624	alpA	b4235	pmbA	alpA	TRUE	tldE	FALSE
b4089	alsR	b4235	pmbA	alsR	TRUE	tldE	FALSE
b0564	appY	b4235	pmbA	appY	TRUE	tldE	FALSE
b0064	araC	b4235	pmbA	araC	TRUE	tldE	FALSE
b4401	arcA	b4235	pmbA	arcA	TRUE	tldE	FALSE
b2916	argP	b4235	pmbA	argP	TRUE	tldE	FALSE
b3237	argR	b4235	pmbA	argR	TRUE	tldE	FALSE
b3501	arsR	b4235	pmbA	arsR	TRUE	tldE	FALSE
b2714	ascG	b4235	pmbA	ascG	TRUE	tldE	FALSE
b3743	asnC	b4235	pmbA	asnC	TRUE	tldE	FALSE
b2220	atoC	b4235	pmbA	atoC	TRUE	tldE	FALSE
b3255	accB	b4235	pmbA	accB	TRUE	tldE	FALSE
b2079	baeR	b4235	pmbA	baeR	TRUE	tldE	FALSE
b4113	basR	b4235	pmbA	basR	TRUE	tldE	FALSE
b0313	betI	b4235	pmbA	betI	TRUE	tldE	FALSE
b3973	birA	b4235	pmbA	birA	TRUE	tldE	FALSE
b1162	bluR	b4235	pmbA	bluR	TRUE	tldE	FALSE
b0435	bolA	b4235	pmbA	bolA	TRUE	tldE	FALSE
b2125	btsR	b4235	pmbA	btsR	TRUE	tldE	FALSE
b3357	crp	b4235	pmbA	crp	TRUE	tldE	FALSE
b4133	cadC	b4235	pmbA	cadC	TRUE	tldE	FALSE
b0034	caiF	b4235	pmbA	caiF	TRUE	tldE	FALSE
b1987	cbl	b4235	pmbA	cbl	TRUE	tldE	FALSE
b0162	cdaR	b4235	pmbA	cdaR	TRUE	tldE	FALSE
b0796	cecR	b4235	pmbA	cecR	TRUE	tldE	FALSE
b1735	chbR	b4235	pmbA	chbR	TRUE	tldE	FALSE
b1111	comR	b4235	pmbA	comR	TRUE	tldE	FALSE
b3912	cpxR	b4235	pmbA	cpxR	TRUE	tldE	FALSE
b0080	cra	b4235	pmbA	cra	TRUE	tldE	FALSE
b4398	creB	b4235	pmbA	creB	TRUE	tldE	FALSE
b1040	csgD	b4235	pmbA	csgD	TRUE	tldE	FALSE
b3556	cspA	b4235	pmbA	cspA	TRUE	tldE	FALSE
b3884	csqR	b4235	pmbA	csqR	TRUE	tldE	FALSE
b0487	cueR	b4235	pmbA	cueR	TRUE	tldE	FALSE
b0571	cusR	b4235	pmbA	cusR	TRUE	tldE	FALSE
b0338	cynR	b4235	pmbA	cynR	TRUE	tldE	FALSE
b1275	cysB	b4235	pmbA	cysB	TRUE	tldE	FALSE
b3934	cytR	b4235	pmbA	cytR	TRUE	tldE	FALSE
b3060	ttdR	b4235	pmbA	ttdR	TRUE	tldE	FALSE
b4124	dcuR	b4235	pmbA	dcuR	TRUE	tldE	FALSE
b0447	decR	b4235	pmbA	decR	TRUE	tldE	FALSE
b0840	deoR	b4235	pmbA	deoR	TRUE	tldE	FALSE
b4479	dgoR	b4235	pmbA	dgoR	TRUE	tldE	FALSE
b1201	dhaR	b4235	pmbA	dhaR	TRUE	tldE	FALSE
b1570	dicA	b4235	pmbA	dicA	TRUE	tldE	FALSE
b0226	dinJ	b4235	pmbA	dinJ	TRUE	tldE	FALSE
b0225	yafQ	b4235	pmbA	yafQ	TRUE	tldE	FALSE
b3702	dnaA	b4235	pmbA	dnaA	TRUE	tldE	FALSE
b0620	dpiA	b4235	pmbA	dpiA	TRUE	tldE	FALSE
b2364	dsdC	b4235	pmbA	dsdC	TRUE	tldE	FALSE
b3075	ebgR	b4235	pmbA	ebgR	TRUE	tldE	FALSE
b3264	envR	b4235	pmbA	envR	TRUE	tldE	FALSE
b0566	envY	b4235	pmbA	envY	TRUE	tldE	FALSE
b2369	evgA	b4235	pmbA	evgA	TRUE	tldE	FALSE
b3094	exuR	b4235	pmbA	exuR	TRUE	tldE	FALSE
b1334	fnr	b4235	pmbA	fnr	TRUE	tldE	FALSE
b3963	fabR	b4235	pmbA	fabR	TRUE	tldE	FALSE
b1187	fadR	b4235	pmbA	fadR	TRUE	tldE	FALSE
b1384	feaR	b4235	pmbA	feaR	TRUE	tldE	FALSE
b2731	fhlA	b4235	pmbA	fhlA	TRUE	tldE	FALSE
b3261	fis	b4235	pmbA	fis	TRUE	tldE	FALSE
b1891	flhC	b4235	pmbA	flhC	TRUE	tldE	FALSE
b1892	flhD	b4235	pmbA	flhD	TRUE	tldE	FALSE
b1921	fliZ	b4235	pmbA	fliZ	TRUE	tldE	FALSE
b0357	frmR	b4235	pmbA	frmR	TRUE	tldE	FALSE
b2805	fucR	b4235	pmbA	fucR	TRUE	tldE	FALSE
b0683	fur	b4235	pmbA	fur	TRUE	tldE	FALSE
b3512	gadE	b4235	pmbA	gadE	TRUE	tldE	FALSE
b2217	rcsB	b4235	pmbA	rcsB	TRUE	tldE	FALSE
b3515	gadW	b4235	pmbA	gadW	TRUE	tldE	FALSE
b3516	gadX	b4235	pmbA	gadX	TRUE	tldE	FALSE
b2837	galR	b4235	pmbA	galR	TRUE	tldE	FALSE
b2151	galS	b4235	pmbA	galS	TRUE	tldE	FALSE
b4498	gatR	b4235	pmbA	gatR	TRUE	tldE	FALSE
b2808	gcvA	b4235	pmbA	gcvA	TRUE	tldE	FALSE
b2664	glaR	b4235	pmbA	glaR	TRUE	tldE	FALSE
b2980	glcC	b4235	pmbA	glcC	TRUE	tldE	FALSE
b3423	glpR	b4235	pmbA	glpR	TRUE	tldE	FALSE
b2554	glrR	b4235	pmbA	glrR	TRUE	tldE	FALSE
b3438	gntR	b4235	pmbA	gntR	TRUE	tldE	FALSE
b2706	gutM	b4235	pmbA	gutM	TRUE	tldE	FALSE
b1237	hns	b4235	pmbA	hns	TRUE	tldE	FALSE
b4000	hupA	b4235	pmbA	hupA	TRUE	tldE	FALSE
b0440	hupB	b4235	pmbA	hupB	TRUE	tldE	FALSE
b2537	hcaR	b4235	pmbA	hcaR	TRUE	tldE	FALSE
b4480	hdfR	b4235	pmbA	hdfR	TRUE	tldE	FALSE
b3082	higA	b4235	pmbA	higA	TRUE	tldE	FALSE
b3083	higB	b4235	pmbA	higB	TRUE	tldE	FALSE
b1507	hipA	b4235	pmbA	hipA	TRUE	tldE	FALSE
b1508	hipB	b4235	pmbA	hipB	TRUE	tldE	FALSE
b1969	hprR	b4235	pmbA	hprR	TRUE	tldE	FALSE
b2491	hyfR	b4235	pmbA	hyfR	TRUE	tldE	FALSE
b4327	hypT	b4235	pmbA	hypT	TRUE	tldE	FALSE
b1712	ihfA	b4235	pmbA	ihfA	TRUE	tldE	FALSE
b0912	ihfB	b4235	pmbA	ihfB	TRUE	tldE	FALSE
b4018	iclR	b4235	pmbA	iclR	TRUE	tldE	FALSE
b4264	idnR	b4235	pmbA	idnR	TRUE	tldE	FALSE
b3773	ilvY	b4235	pmbA	ilvY	TRUE	tldE	FALSE
b2531	iscR	b4235	pmbA	iscR	TRUE	tldE	FALSE
b1827	kdgR	b4235	pmbA	kdgR	TRUE	tldE	FALSE
b0694	kdpE	b4235	pmbA	kdpE	TRUE	tldE	FALSE
b0345	lacI	b4235	pmbA	lacI	TRUE	tldE	FALSE
